name Instability Abstractness
ij.process 0.28975265017667845 0.05714285714285714
ij.text 0.7657657657657657 0.0
ij.util 0.35964912280701755 0.0
imagej 1.0 0.0
imagej.patcher 1.0 0.12
impl.krypt.asn1 0.22413793103448276 0.23076923076923078
impl.krypt.asn1.parser 0.9285714285714286 0.0
impl.krypt.asn1.pem 0.9230769230769231 0.125
io.scif 0.2680965147453083 0.6290322580645161
io.scif.app 1.0 0.0
io.scif.codec 0.7079646017699115 0.08571428571428572
io.scif.common 0.5630252100840336 0.0
io.scif.config 0.11965811965811966 0.0
io.scif.enumeration 0.3333333333333333 0.5
io.scif.filters 0.8472222222222222 0.375
io.scif.formats 1.0 0.018292682926829267
io.scif.formats.qt 0.9893617021276596 0.05
io.scif.formats.tiff 0.8586956521739131 0.05555555555555555
io.scif.gui 0.8802395209580839 0.09523809523809523
io.scif.img 0.8686131386861314 0.21428571428571427
io.scif.img.axes 0.5 0.0
io.scif.img.cell 0.9473684210526315 0.06666666666666667
io.scif.img.cell.cache 0.8571428571428571 0.4
io.scif.img.cell.loaders 0.9245283018867925 0.2
io.scif.img.converters 0.9411764705882353 0.42857142857142855
io.scif.io 0.28717948717948716 0.20833333333333334
io.scif.jj2000.j2k 0.4074074074074074 0.0
io.scif.jj2000.j2k.codestream 0.5 0.16666666666666666
io.scif.jj2000.j2k.codestream.reader 0.96875 0.125
io.scif.jj2000.j2k.codestream.writer 0.9545454545454546 0.16666666666666666
io.scif.jj2000.j2k.decoder 0.5517241379310345 0.0
io.scif.jj2000.j2k.entropy 0.5675675675675675 0.16666666666666666
io.scif.jj2000.j2k.entropy.decoder 0.8709677419354839 0.2857142857142857
io.scif.jj2000.j2k.entropy.encoder 0.9333333333333333 0.25
io.scif.jj2000.j2k.fileformat 0.3333333333333333 1.0
io.scif.jj2000.j2k.fileformat.reader 0.9393939393939394 0.0
io.scif.jj2000.j2k.fileformat.writer 0.9473684210526315 0.0
io.scif.jj2000.j2k.image 0.3191489361702128 0.4
io.scif.jj2000.j2k.image.forwcomptransf 0.8846153846153846 0.0
io.scif.jj2000.j2k.image.input 0.85 0.5
io.scif.jj2000.j2k.image.invcomptransf 0.9090909090909091 0.0
io.scif.jj2000.j2k.io 0.48 0.8333333333333334
io.scif.jj2000.j2k.quantization 0.5789473684210527 0.25
io.scif.jj2000.j2k.quantization.dequantizer 0.7931034482758621 0.6
io.scif.jj2000.j2k.quantization.quantizer 0.7777777777777778 0.6666666666666666
io.scif.jj2000.j2k.roi 0.6190476190476191 0.0
io.scif.jj2000.j2k.roi.encoder 0.9333333333333333 0.2857142857142857
io.scif.jj2000.j2k.util 0.6290322580645161 0.15384615384615385
io.scif.jj2000.j2k.wavelet 0.26666666666666666 0.8333333333333334
io.scif.jj2000.j2k.wavelet.analysis 0.6521739130434783 0.5333333333333333
io.scif.jj2000.j2k.wavelet.synthesis 0.6 0.6666666666666666
io.scif.media.imageio.plugins.bmp 0.8571428571428571 0.0
io.scif.media.imageio.plugins.jpeg2000 0.5454545454545454 0.0
io.scif.media.imageio.plugins.pnm 0.3333333333333333 0.0
io.scif.media.imageio.plugins.tiff 0.7522935779816514 0.015625
io.scif.media.imageio.stream 0.921875 0.1111111111111111
io.scif.media.imageioimpl.common 0.5258620689655172 0.07142857142857142
io.scif.media.imageioimpl.plugins.bmp 0.9886363636363636 0.0625
io.scif.media.imageioimpl.plugins.clib 1.0 0.0
io.scif.media.imageioimpl.plugins.gif 1.0 0.08333333333333333
io.scif.media.imageioimpl.plugins.jpeg 1.0 0.0
io.scif.media.imageioimpl.plugins.jpeg2000 0.8352941176470589 0.0
io.scif.media.imageioimpl.plugins.pcx 1.0 0.16666666666666666
io.scif.media.imageioimpl.plugins.png 1.0 0.0
io.scif.media.imageioimpl.plugins.pnm 1.0 0.0
io.scif.media.imageioimpl.plugins.raw 1.0 0.0
io.scif.media.imageioimpl.plugins.tiff 0.9694656488549618 0.06382978723404255
io.scif.media.imageioimpl.plugins.wbmp 1.0 0.0
io.scif.media.imageioimpl.stream 1.0 0.0
io.scif.media.jai.imageioimpl 1.0 0.0
io.scif.media.jai.operator 1.0 0.0
io.scif.refs 0.6 0.6
io.scif.services 0.7094017094017094 0.4666666666666667
io.scif.util 0.3680555555555556 0.0
io.scif.xml 0.9411764705882353 0.1111111111111111
javassist 0.49372384937238495 0.12698412698412698
javassist.bytecode 0.328042328042328 0.09174311926605505
javassist.bytecode.analysis 0.9534883720930233 0.043478260869565216
javassist.bytecode.annotation 0.8909090909090909 0.1
javassist.bytecode.stackmap 0.7804878048780488 0.2222222222222222
javassist.compiler 0.5488721804511278 0.14814814814814814
javassist.compiler.ast 0.3157894736842105 0.041666666666666664
javassist.convert 0.9655172413793104 0.1
javassist.expr 0.5967741935483871 0.05555555555555555
javassist.runtime 1.0 0.0
javassist.scopedpool 1.0 0.2857142857142857
javassist.tools 1.0 0.0
javassist.tools.reflect 1.0 0.09090909090909091
javassist.tools.rmi 1.0 0.1111111111111111
javassist.tools.web 0.9736842105263158 0.0
javassist.util 1.0 0.0
javassist.util.proxy 1.0 0.21739130434782608
javatests 1.0 0.05555555555555555
javax.xml 1.0 0.0
javax.xml.datatype 0.734375 0.2
javax.xml.namespace 0.48148148148148145 0.3333333333333333
javax.xml.parsers 0.550561797752809 0.26666666666666666
javax.xml.transform 0.5694444444444444 0.4
javax.xml.transform.dom 0.38095238095238093 0.3333333333333333
javax.xml.transform.sax 0.782608695652174 0.6
javax.xml.transform.stream 0.5833333333333334 0.0
javax.xml.validation 0.7424242424242424 0.3684210526315789
javax.xml.xpath 0.9772727272727273 0.2916666666666667
jline 0.97 0.2222222222222222
jline.console 0.8875 0.0
jline.console.completer 0.8108108108108109 0.26666666666666666
jline.console.history 0.78125 0.375
jline.console.internal 1.0 0.0
jline.internal 0.7435897435897436 0.23076923076923078
jnr.constants 0.1638418079096045 0.14285714285714285
jnr.constants.platform 0.25 0.0
jnr.constants.platform.darwin 1.0 0.0
jnr.constants.platform.fake 1.0 0.0
jnr.constants.platform.freebsd 1.0 0.0
jnr.constants.platform.linux 1.0 0.0
jnr.constants.platform.openbsd 1.0 0.0
jnr.constants.platform.sunos 1.0 0.0
jnr.constants.platform.windows 1.0 0.0
jnr.enxio.channels 0.8767123287671232 0.1
jnr.enxio.example 1.0 0.25
jnr.ffi 0.18591549295774648 0.12568306010928962
jnr.ffi.annotations 0.2631578947368421 1.0
jnr.ffi.byref 0.5882352941176471 0.21428571428571427
jnr.ffi.mapper 0.13333333333333333 0.5952380952380952
jnr.ffi.provider 0.4411764705882353 0.32
jnr.ffi.provider.converters 0.967032967032967 0.0
jnr.ffi.provider.jffi 0.992619926199262 0.14432989690721648
jnr.ffi.provider.jffi.platform.arm.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.i386.darwin 1.0 0.0
jnr.ffi.provider.jffi.platform.i386.freebsd 1.0 0.0
jnr.ffi.provider.jffi.platform.i386.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.i386.openbsd 1.0 0.0
jnr.ffi.provider.jffi.platform.i386.solaris 1.0 0.0
jnr.ffi.provider.jffi.platform.i386.windows 1.0 0.0
jnr.ffi.provider.jffi.platform.mips.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.mipsel.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.ppc.aix 1.0 0.0
jnr.ffi.provider.jffi.platform.ppc.darwin 1.0 0.0
jnr.ffi.provider.jffi.platform.ppc.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.s390.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.s390x.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.sparc.solaris 1.0 0.0
jnr.ffi.provider.jffi.platform.sparcv9.solaris 1.0 0.0
jnr.ffi.provider.jffi.platform.x86_64.darwin 1.0 0.0
jnr.ffi.provider.jffi.platform.x86_64.freebsd 1.0 0.0
jnr.ffi.provider.jffi.platform.x86_64.linux 1.0 0.0
jnr.ffi.provider.jffi.platform.x86_64.openbsd 1.0 0.0
jnr.ffi.provider.jffi.platform.x86_64.solaris 1.0 0.0
jnr.ffi.provider.jffi.platform.x86_64.windows 1.0 0.0
jnr.ffi.types 1.0 1.0
jnr.ffi.util 0.6129032258064516 0.16666666666666666
jnr.ffi.util.ref 0.8055555555555556 0.5555555555555556
jnr.ffi.util.ref.internal 1.0 0.0
jnr.netdb 0.9682539682539683 0.391304347826087
jnr.posix 0.7763975155279503 0.17293233082706766
jnr.posix.util 0.7012987012987013 0.06666666666666667
jnr.unixsocket 0.7843137254901961 0.16666666666666666
jnr.unixsocket.example 1.0 0.2
jnr.x86asm 0.7916666666666666 0.09523809523809523
json.ext 1.0 0.07692307692307693
net.iharder 0.9444444444444444 0.0
net.imagej 0.425 0.38095238095238093
net.imagej.animation 0.75 0.3333333333333333
net.imagej.app 1.0 0.0
net.imagej.autoscale 0.8571428571428571 0.42857142857142855
net.imagej.command 0.8666666666666667 1.0
net.imagej.config 0.96875 0.0
net.imagej.display 0.4375 0.32558139534883723
net.imagej.display.event 0.52 0.3333333333333333
net.imagej.event 0.30434782608695654 0.2
net.imagej.io 1.0 0.0
net.imagej.launcher 0.9782608695652174 0.0
net.imagej.legacy 0.9023255813953488 0.0967741935483871
net.imagej.legacy.display 0.9565217391304348 0.5
net.imagej.legacy.plugin 0.9646017699115044 0.19047619047619047
net.imagej.legacy.translate 0.9736842105263158 0.20588235294117646
net.imagej.legacy.ui 0.9310344827586207 0.16666666666666666
net.imagej.lut 0.90625 0.2
net.imagej.lut.io 1.0 0.0
net.imagej.measure 0.9411764705882353 0.25
net.imagej.minmax 0.96 0.5
net.imagej.operator 0.9512195121951219 0.11764705882352941
net.imagej.ops 0.2754491017964072 0.8333333333333334
net.imagej.ops.arithmetic.add 0.76 0.125
net.imagej.ops.arithmetic.add.parallel 1.0 0.0
net.imagej.ops.ascii 1.0 0.5
net.imagej.ops.chunker 0.5384615384615384 0.4444444444444444
net.imagej.ops.commands.convert 1.0 0.0
net.imagej.ops.commands.convolve 1.0 0.0
net.imagej.ops.commands.project 1.0 0.3333333333333333
net.imagej.ops.commands.threshold 1.0 0.0
net.imagej.ops.convert 0.9166666666666666 0.2857142857142857
net.imagej.ops.convolve 1.0 0.25
net.imagej.ops.create 1.0 0.5
net.imagej.ops.crop 0.9583333333333334 0.4
net.imagej.ops.equation 1.0 0.5
net.imagej.ops.gauss 1.0 0.5
net.imagej.ops.generated 1.0 0.14285714285714285
net.imagej.ops.histogram 0.9166666666666666 0.5
net.imagej.ops.identity 1.0 0.6666666666666666
net.imagej.ops.invert 1.0 0.2
net.imagej.ops.join 0.9090909090909091 0.5384615384615384
net.imagej.ops.lookup 1.0 0.6666666666666666
net.imagej.ops.loop 1.0 0.7142857142857143
net.imagej.ops.map 0.9333333333333333 0.21052631578947367
net.imagej.ops.misc 0.7333333333333333 0.25
net.imagej.ops.neighborhood 1.0 0.0
net.imagej.ops.normalize 0.9166666666666666 0.3333333333333333
net.imagej.ops.onthefly 1.0 0.25
net.imagej.ops.outputfactories 1.0 0.0
net.imagej.ops.project 0.8666666666666667 0.25
net.imagej.ops.project.parallel 1.0 0.0
net.imagej.ops.scale 1.0 0.5
net.imagej.ops.slicer 0.92 0.25
net.imagej.ops.statistics 0.8260869565217391 0.47058823529411764
net.imagej.ops.statistics.moments 0.9230769230769231 0.0
net.imagej.ops.threshold 0.9642857142857143 0.3
net.imagej.options 0.66 0.0
net.imagej.overlay 0.5849056603773585 0.13636363636363635
net.imagej.patcher 0.96875 0.1
net.imagej.plugins.commands.animation 1.0 0.0
net.imagej.plugins.commands.app 1.0 0.0
net.imagej.plugins.commands.assign 1.0 0.03571428571428571
net.imagej.plugins.commands.assign.noisereduce 1.0 0.1
net.imagej.plugins.commands.axispos 1.0 0.0
net.imagej.plugins.commands.binary 1.0 0.2222222222222222
net.imagej.plugins.commands.calculator 1.0 0.0
net.imagej.plugins.commands.correlate 1.0 0.07142857142857142
net.imagej.plugins.commands.dataset 1.0 0.0
net.imagej.plugins.commands.debug 1.0 0.0
net.imagej.plugins.commands.display 1.0 0.0
net.imagej.plugins.commands.display.interactive 1.0 0.0
net.imagej.plugins.commands.imglib 0.96875 0.07692307692307693
net.imagej.plugins.commands.io 1.0 0.0
net.imagej.plugins.commands.misc 1.0 0.0
net.imagej.plugins.commands.neigh 0.9166666666666666 0.25
net.imagej.plugins.commands.overlay 1.0 0.1111111111111111
net.imagej.plugins.commands.restructure 1.0 0.047619047619047616
net.imagej.plugins.commands.rotate 1.0 0.125
net.imagej.plugins.commands.typechange 1.0 0.0
net.imagej.plugins.commands.upload 1.0 0.0
net.imagej.plugins.commands.zoom 1.0 0.0
net.imagej.plugins.tools 1.0 0.07407407407407407
net.imagej.plugins.uploaders.ssh 1.0 0.1111111111111111
net.imagej.plugins.uploaders.webdav 1.0 0.0
net.imagej.render 0.3888888888888889 0.2857142857142857
net.imagej.sampler 0.9555555555555556 0.2857142857142857
net.imagej.table 0.7924528301886793 0.42857142857142855
net.imagej.threshold 0.7608695652173914 0.13636363636363635
